2146,,,,,
All IDs for Ezh2,Ensembl Gene IDs,Entrez IDs,HAVANA IDs,Symbols,Description
55203,ENSG00000153012,55203,OTTHUMG00000097749,LGI2,"leucine-rich repeat LGI family, member 2"
55214,ENSG00000090530,55214,OTTHUMG00000156312,LEPREL1,leprecan-like 1
55220,ENSG00000162873,55220,OTTHUMG00000037199,KLHDC8A,kelch domain containing 8A
55224,ENSG00000143845,55224,OTTHUMG00000036061,ETNK2,ethanolamine kinase 2
55226,ENSG00000135372,55226,OTTHUMG00000166249,NAT10,N-acetyltransferase 10 (GCN5-related)
55229,ENSG00000157881,55229,OTTHUMG00000000791,PANK4,pantothenate kinase 4
55245,ENSG00000101019,55245,OTTHUMG00000032335,UQCC,ubiquinol-cytochrome c reductase complex chaperone
55267,ENSG00000182257,55267,OTTHUMG00000150407,C22orf26,chromosome 22 open reading frame 26
55268,ENSG00000121310,55268,OTTHUMG00000008927,ECHDC2,enoyl CoA hydratase domain containing 2
55283,ENSG00000055732,55283,OTTHUMG00000009955,MCOLN3,mucolipin 3
55286,ENSG00000154274,55286,OTTHUMG00000128580,C4orf19,chromosome 4 open reading frame 19
55289,ENSG00000153093,55289,OTTHUMG00000131257,ACOXL,acyl-CoA oxidase-like
55298,ENSG00000137522,55298,OTTHUMG00000157023,RNF121,ring finger protein 121
55321,ENSG00000125895,55321,OTTHUMG00000031655,TMEM74B,transmembrane protein 74B
55336,ENSG00000135722,55336,OTTHUMG00000137514,FBXL8,F-box and leucine-rich repeat protein 8
55344,ENSG00000182378,55344,OTTHUMG00000022693,PLCXD1,"phosphatidylinositol-specific phospholipase C, X domain containing 1"
55349,ENSG00000016391,55349,OTTHUMG00000158281,CHDH,choline dehydrogenase
55351,ENSG00000152953,55351,OTTHUMG00000090423,STK32B,serine/threonine kinase 32B
55355,ENSG00000123485,55355,OTTHUMG00000059125,HJURP,Holliday junction recognition protein
55356,ENSG00000163393,55356,OTTHUMG00000012008,SLC22A15,"solute carrier family 22, member 15"
55359,ENSG00000060140,55359,OTTHUMG00000168408,STYK1,serine/threonine/tyrosine kinase 1
55364,ENSG00000154059,55364,OTTHUMG00000131943,IMPACT,Impact homolog (mouse)
55365,ENSG00000002933,55365,OTTHUMG00000158114,TMEM176A,transmembrane protein 176A
55450,ENSG00000162545,55450,OTTHUMG00000002837,CAMK2N1,calcium/calmodulin-dependent protein kinase II inhibitor 1
55466,ENSG00000140403,55466,OTTHUMG00000143733,DNAJA4,"DnaJ (Hsp40) homolog, subfamily A, member 4"
55502,ENSG00000144485,55502,OTTHUMG00000133340,HES6,hairy and enhancer of split 6 (Drosophila)
55503,ENSG00000165125,55503,OTTHUMG00000157158,TRPV6,"transient receptor potential cation channel, subfamily V, member 6"
55506,ENSG00000099284,55506,OTTHUMG00000018396,H2AFY2,"H2A histone family, member Y2"
55509,ENSG00000123685,55509,OTTHUMG00000036807,BATF3,"basic leucine zipper transcription factor, ATF-like 3"
55512,ENSG00000103056,55512,OTTHUMG00000137559,SMPD3,"sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)"
55515,ENSG00000072182,55515,OTTHUMG00000058928,ASIC4,acid-sensing (proton-gated) ion channel family member 4
55521,ENSG00000152503,55521,OTTHUMG00000128892,TRIM36,tripartite motif containing 36
55534,ENSG00000196782,55534,OTTHUMG00000161441,MAML3,mastermind-like 3 (Drosophila)
55540,ENSG00000056736,55540,OTTHUMG00000158280,IL17RB,interleukin 17 receptor B
55567,ENSG00000158486,55567,OTTHUMG00000090677,DNAH3,"dynein, axonemal, heavy chain 3"
55568,ENSG00000164574,55568,OTTHUMG00000130145,GALNT10,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)
55586,ENSG00000100253,55586,OTTHUMG00000150207,MIOX,myo-inositol oxygenase
55604,ENSG00000079691,55604,OTTHUMG00000014393,LRRC16A,leucine rich repeat containing 16A
55607,ENSG00000158528,55607,OTTHUMG00000155566,PPP1R9A,"protein phosphatase 1, regulatory subunit 9A"
55615,ENSG00000186654,55615,OTTHUMG00000150460,PRR5,proline rich 5 (renal)
55616,ENSG00000088280,55616,OTTHUMG00000003234,ASAP3,"ArfGAP with SH3 domain, ankyrin repeat and PH domain 3"
55619,ENSG00000135905,55619,OTTHUMG00000153428,DOCK10,dedicator of cytokinesis 10
55620,ENSG00000178078,55620,OTTHUMG00000181884,STAP2,signal transducing adaptor family member 2
55636,ENSG00000171316,55636,OTTHUMG00000165332,CHD7,chromodomain helicase DNA binding protein 7
55638,ENSG00000147642,55638,OTTHUMG00000165634,SYBU,syntabulin (syntaxin-interacting)
55647,ENSG00000139832,55647,OTTHUMG00000017343,RAB20,"RAB20, member RAS oncogene family"
55653,ENSG00000124243,55653,OTTHUMG00000032735,BCAS4,breast carcinoma amplified sequence 4
55666,ENSG00000182446,55666,OTTHUMG00000177990,NPLOC4,nuclear protein localization 4 homolog (S. cerevisiae)
55684,ENSG00000196642,55684,OTTHUMG00000020947,RABL6,"RAB, member RAS oncogene family-like 6"
55698,ENSG00000157927,55698,OTTHUMG00000151753,RADIL,Ras association and DIL domains
55701,ENSG00000165801,55701,OTTHUMG00000171359,ARHGEF40,Rho guanine nucleotide exchange factor (GEF) 40
55713,ENSG00000198185,55713,OTTHUMG00000032654,ZNF334,zinc finger protein 334
55714,ENSG00000218336,55714,OTTHUMG00000160682,TENM3,"odz, odd Oz/ten-m homolog 3 (Drosophila)"
55733,ENSG00000054392,55733,OTTHUMG00000036447,HHAT,hedgehog acyltransferase
55740,ENSG00000154380,55740,OTTHUMG00000037742,ENAH,enabled homolog (Drosophila)
55765,ENSG00000163362,55765,OTTHUMG00000035789,C1orf106,chromosome 1 open reading frame 106
55771,ENSG00000068489,55771,OTTHUMG00000179362,PRR11,proline rich 11
55790,ENSG00000147408,55790,OTTHUMG00000130827,CSGALNACT1,chondroitin sulfate N-acetylgalactosaminyltransferase 1
55799,ENSG00000157445,55799,OTTHUMG00000158580,CACNA2D3,"calcium channel, voltage-dependent, alpha 2/delta subunit 3"
55806,ENSG00000168453,55806,OTTHUMG00000097089,HR,hairless homolog (mouse)
55809,ENSG00000124496,55809,OTTHUMG00000014698,TRERF1,transcriptional regulating factor 1
55816,ENSG00000101134,55816,OTTHUMG00000032778,DOK5,docking protein 5
55819,ENSG00000113269,55819,OTTHUMG00000130909,RNF130,ring finger protein 130
55824,ENSG00000076641,55824,OTTHUMG00000164592,PAG1,phosphoprotein associated with glycosphingolipid microdomains 1
55825,ENSG00000115425,55825,OTTHUMG00000154825,PECR,peroxisomal trans-2-enoyl-CoA reductase
55885,ENSG00000048540,55885,OTTHUMG00000168837,LMO3,LIM domain only 3 (rhombotin-like 2)
55893,ENSG00000186918,55893,OTTHUMG00000102137,ZNF395,zinc finger protein 395
55897,ENSG00000166823,55897,OTTHUMG00000149810,MESP1,mesoderm posterior 1 homolog (mouse)
55902,ENSG00000131069,55902,OTTHUMG00000032317,ACSS2,acyl-CoA synthetase short-chain family member 2
55911,ENSG00000184730,55911,OTTHUMG00000172705,APOBR,apolipoprotein B receptor
55930,ENSG00000128833,55930,OTTHUMG00000172630,MYO5C,myosin VC
55959,ENSG00000196562,55959,OTTHUMG00000032675,SULF2,sulfatase 2
55964,ENSG00000100167,55964,OTTHUMG00000030494,3-Sep,septin 3
55966,ENSG00000196581,55966,OTTHUMG00000000645,AJAP1,adherens junctions associated protein 1
55970,ENSG00000172380,55970,OTTHUMG00000009545,GNG12,"guanine nucleotide binding protein (G protein), gamma 12"
56033,ENSG00000131668,56033,OTTHUMG00000020255,BARX1,BARX homeobox 1
56034,ENSG00000145431,56034,OTTHUMG00000161803,PDGFC,platelet derived growth factor C
56097,ENSG00000240764,56097,OTTHUMG00000129624,PCDHGC5,"protocadherin gamma subfamily C, 5"
56098,ENSG00000242419,56098,OTTHUMG00000129625,PCDHGC4,"protocadherin gamma subfamily C, 4"
56099,ENSG00000254122,56099,OTTHUMG00000164054,PCDHGB7,"protocadherin gamma subfamily B, 7"
56100,ENSG00000253305,56100,OTTHUMG00000163687,PCDHGB6,"protocadherin gamma subfamily B, 6"
56105,ENSG00000253873,56105,OTTHUMG00000164055,PCDHGA11,"protocadherin gamma subfamily A, 11"
56106,ENSG00000253846,56106,OTTHUMG00000163688,PCDHGA10,"protocadherin gamma subfamily A, 10"
56114,ENSG00000204956,56114,OTTHUMG00000163678,PCDHGA1,"protocadherin gamma subfamily A, 1"
56165,ENSG00000095627,56165,OTTHUMG00000019083,TDRD1,tudor domain containing 1
56243,ENSG00000120549,56243,OTTHUMG00000017824,KIAA1217,KIAA1217
56244,ENSG00000204290,56244,OTTHUMG00000031102,BTNL2,butyrophilin-like 2 (MHC class II associated)
56256,ENSG00000082497,56256,OTTHUMG00000036391,SERTAD4,SERTA domain containing 4
56265,ENSG00000088882,56265,OTTHUMG00000031706,CPXM1,"carboxypeptidase X (M14 family), member 1"
56288,ENSG00000148498,56288,OTTHUMG00000017948,PARD3,par-3 partitioning defective 3 homolog (C. elegans)
56301,ENSG00000130876,56301,OTTHUMG00000180344,SLC7A10,"solute carrier family 7 (neutral amino acid transporter light chain, asc system), member 10"
56475,ENSG00000177519,56475,OTTHUMG00000131905,RPRM,"reprimo, TP53 dependent G2 arrest mediator candidate"
56479,ENSG00000185760,56479,OTTHUMG00000015020,KCNQ5,"potassium voltage-gated channel, KQT-like subfamily, member 5"
56603,ENSG00000003137,56603,OTTHUMG00000129756,CYP26B1,"cytochrome P450, family 26, subfamily B, polypeptide 1"
56648,ENSG00000163577,56648,OTTHUMG00000158958,EIF5A2,eukaryotic translation initiation factor 5A2
56654,ENSG00000107281,56654,OTTHUMG00000020956,NPDC1,"neural proliferation, differentiation and control, 1"
56659,ENSG00000152315,56659,OTTHUMG00000171017,KCNK13,"potassium channel, subfamily K, member 13"
56660,ENSG00000184261,56660,OTTHUMG00000129131,KCNK12,"potassium channel, subfamily K, member 12"
56666,ENSG00000073150,56666,OTTHUMG00000044649,PANX2,pannexin 2
56675,ENSG00000175352,56675,OTTHUMG00000165680,NRIP3,nuclear receptor interacting protein 3
56704,ENSG00000104369,56704,OTTHUMG00000164524,JPH1,junctophilin 1
56751,ENSG00000125492,56751,OTTHUMG00000020839,BARHL1,BarH-like homeobox 1
56832,ENSG00000147896,56832,OTTHUMG00000019715,IFNK,"interferon, kappa"
56853,ENSG00000101489,56853,OTTHUMG00000178178,CELF4,"CUGBP, Elav-like family member 4"
56896,ENSG00000157851,56896,OTTHUMG00000097071,DPYSL5,dihydropyrimidinase-like 5
56899,ENSG00000185046,56899,OTTHUMG00000170308,ANKS1B,ankyrin repeat and sterile alpha motif domain containing 1B
56901,ENSG00000185633,56901,OTTHUMG00000171275,NDUFA4L2,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2"
56907,ENSG00000134278,56907,OTTHUMG00000153940,SPIRE1,spire homolog 1 (Drosophila)
56917,ENSG00000105419,56917,OTTHUMG00000172280,MEIS3,Meis homeobox 3
56922,ENSG00000078070,56922,OTTHUMG00000158355,MCCC1,methylcrotonoyl-CoA carboxylase 1 (alpha)
56934,ENSG00000154975,56934,OTTHUMG00000177544,CA10,carbonic anhydrase X
56937,ENSG00000124225,56937,OTTHUMG00000032831,PMEPA1,"prostate transmembrane protein, androgen induced 1"
56938,ENSG00000029153,56938,OTTHUMG00000169257,ARNTL2,aryl hydrocarbon receptor nuclear translocator-like 2
56956,ENSG00000143355,56956,OTTHUMG00000035656,LHX9,LIM homeobox 9
56961,ENSG00000105251,56961,OTTHUMG00000181879,SHD,Src homology 2 domain containing transforming protein D
56963,ENSG00000182175,56963,OTTHUMG00000171781,RGMA,"RGM domain family, member A"
56978,ENSG00000152784,56978,OTTHUMG00000160885,PRDM8,PR domain containing 8
56999,ENSG00000163638,56999,OTTHUMG00000158722,ADAMTS9,"ADAM metallopeptidase with thrombospondin type 1 motif, 9"
57001,ENSG00000196636,57001,OTTHUMG00000154064,ACN9,ACN9 homolog (S. cerevisiae)
57007,ENSG00000144476,57007,OTTHUMG00000133295,CXCR7,chemokine (C-X-C motif) receptor 7
57030,ENSG00000104888,57030,OTTHUMG00000183166,SLC17A7,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 7"
57037,ENSG00000106524,57037,OTTHUMG00000090806,ANKMY2,ankyrin repeat and MYND domain containing 2
57057,ENSG00000164532,57057,OTTHUMG00000099411,TBX20,T-box 20
57060,ENSG00000090097,57060,OTTHUMG00000157366,PCBP4,poly(rC) binding protein 4
57084,ENSG00000091664,57084,OTTHUMG00000166063,SLC17A6,"solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 6"
57085,ENSG00000177674,57085,OTTHUMG00000002230,AGTRAP,angiotensin II receptor-associated protein
57101,ENSG00000047617,57101,OTTHUMG00000168264,ANO2,anoctamin 2
57117,ENSG00000138785,57117,OTTHUMG00000131215,INTS12,integrator complex subunit 12
57118,ENSG00000183049,57118,OTTHUMG00000017683,CAMK1D,calcium/calmodulin-dependent protein kinase ID
57124,ENSG00000174807,57124,OTTHUMG00000167073,CD248,"CD248 molecule, endosialin"
57125,ENSG00000161381,57125,OTTHUMG00000133183,PLXDC1,plexin domain containing 1
57134,ENSG00000117643,57134,OTTHUMG00000004417,MAN1C1,"mannosidase, alpha, class 1C, member 1"
57136,ENSG00000101474,57136,OTTHUMG00000032107,APMAP,adipocyte plasma membrane associated protein
57139,ENSG00000205517,57139,OTTHUMG00000172898,RGL3,ral guanine nucleotide dissociation stimulator-like 3
57140,ENSG00000142327,57140,OTTHUMG00000133357,RNPEPL1,arginyl aminopeptidase (aminopeptidase B)-like 1
57144,ENSG00000101349,57144,OTTHUMG00000031857,PAK7,p21 protein (Cdc42/Rac)-activated kinase 7
57146,ENSG00000011638,57146,OTTHUMG00000131559,TMEM159,transmembrane protein 159
57149,ENSG00000102897,57149,OTTHUMG00000131554,LYRM1,LYR motif containing 1
57158,ENSG00000149596,57158,OTTHUMG00000033037,JPH2,junctophilin 2
57161,ENSG00000139946,57161,OTTHUMG00000152336,PELI2,pellino E3 ubiquitin protein ligase family member 2
57162,ENSG00000197329,57162,OTTHUMG00000129511,PELI1,pellino E3 ubiquitin protein ligase 1
57167,ENSG00000101115,57167,OTTHUMG00000032752,SALL4,sal-like 4 (Drosophila)
57168,ENSG00000128203,57168,OTTHUMG00000150884,ASPHD2,aspartate beta-hydroxylase domain containing 2
57171,ENSG00000167130,57171,OTTHUMG00000020771,DOLPP1,dolichyl pyrophosphate phosphatase 1
57185,ENSG00000001461,57185,OTTHUMG00000003299,NIPAL3,NIPA-like domain containing 3
57188,ENSG00000156218,57188,OTTHUMG00000147363,ADAMTSL3,ADAMTS-like 3
57189,ENSG00000257093,57189,OTTHUMG00000157539,KIAA1147,KIAA1147
57190,ENSG00000162430,57190,OTTHUMG00000007375,SEPN1,"selenoprotein N, 1"
57194,ENSG00000206190,57194,OTTHUMG00000171703,ATP10A,"ATPase, class V, type 10A"
57210,ENSG00000022567,57210,OTTHUMG00000164393,SLC45A4,"solute carrier family 45, member 4"
57211,ENSG00000112414,57211,OTTHUMG00000015709,GPR126,G protein-coupled receptor 126
57214,ENSG00000103888,57214,OTTHUMG00000144184,KIAA1199,KIAA1199
57216,ENSG00000162738,57216,OTTHUMG00000033122,VANGL2,"vang-like 2 (van gogh, Drosophila)"
57221,ENSG00000112379,57221,OTTHUMG00000015670,KIAA1244,KIAA1244
57224,ENSG00000135540,57224,OTTHUMG00000016321,NHSL1,NHS-like 1
57228,ENSG00000170545,57228,N/A,SMAGP,small cell adhesion glycoprotein
57231,ENSG00000135317,57231,OTTHUMG00000015140,SNX14,sorting nexin 14
57282,ENSG00000144290,57282,OTTHUMG00000153938,SLC4A10,"solute carrier family 4, sodium bicarbonate transporter, member 10"
57332,ENSG00000141570,57332,OTTHUMG00000150416,CBX8,chromobox homolog 8
57338,ENSG00000154118,57338,OTTHUMG00000137656,JPH3,junctophilin 3
57348,ENSG00000167614,57348,OTTHUMG00000065544,TTYH1,tweety homolog 1 (Drosophila)
57369,ENSG00000159248,57369,OTTHUMG00000129674,GJD2,"gap junction protein, delta 2, 36kDa"
57406,ENSG00000163686,57406,OTTHUMG00000159150,ABHD6,abhydrolase domain containing 6
57419,ENSG00000185052,57419,OTTHUMG00000031993,SLC24A3,"solute carrier family 24 (sodium/potassium/calcium exchanger), member 3"
57447,ENSG00000165795,57447,OTTHUMG00000029619,NDRG2,NDRG family member 2
57452,ENSG00000100626,57452,OTTHUMG00000171231,GALNTL1,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase-like 1
57458,ENSG00000057704,57458,OTTHUMG00000170225,TMCC3,transmembrane and coiled-coil domain family 3
57460,ENSG00000111110,57460,OTTHUMG00000169990,PPM1H,"protein phosphatase, Mg2+/Mn2+ dependent, 1H"
57461,ENSG00000240682,57461,OTTHUMG00000137365,ISY1,ISY1 splicing factor homolog (S. cerevisiae)
57462,ENSG00000164976,57462,OTTHUMG00000019816,KIAA1161,KIAA1161
57463,ENSG00000181754,57463,OTTHUMG00000011653,AMIGO1,adhesion molecule with Ig-like domain 1
57465,ENSG00000162065,57465,OTTHUMG00000177150,TBC1D24,"TBC1 domain family, member 24"
57468,ENSG00000124140,57468,OTTHUMG00000032638,SLC12A5,"solute carrier family 12 (potassium/chloride transporter), member 5"
57471,ENSG00000136541,57471,OTTHUMG00000153843,ERMN,"ermin, ERM-like protein"
57473,ENSG00000196700,57473,OTTHUMG00000033008,ZNF512B,zinc finger protein 512B
57475,ENSG00000054690,57475,OTTHUMG00000171272,PLEKHH1,"pleckstrin homology domain containing, family H (with MyTH4 domain) member 1"
57480,ENSG00000120278,57480,OTTHUMG00000015824,PLEKHG1,"pleckstrin homology domain containing, family G (with RhoGef domain) member 1"
57493,ENSG00000173706,57493,OTTHUMG00000159486,HEG1,HEG homolog 1 (zebrafish)
57495,ENSG00000174145,57495,OTTHUMG00000157134,KIAA1239,KIAA1239
57497,ENSG00000156564,57497,OTTHUMG00000014662,LRFN2,leucine rich repeat and fibronectin type III domain containing 2
57501,ENSG00000114656,57501,OTTHUMG00000159946,KIAA1257,KIAA1257
57502,ENSG00000146938,57502,OTTHUMG00000021093,NLGN4X,"neuroligin 4, X-linked"
57504,ENSG00000057935,57504,OTTHUMG00000150452,MTA3,"metastasis associated 1 family, member 3"
57509,ENSG00000129422,57509,OTTHUMG00000163756,MTUS1,microtubule associated tumor suppressor 1
57512,ENSG00000151025,57512,OTTHUMG00000017832,GPR158,G protein-coupled receptor 158
57514,ENSG00000031081,57514,OTTHUMG00000159362,ARHGAP31,Rho GTPase activating protein 31
57520,ENSG00000138411,57520,OTTHUMG00000154435,HECW2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
57522,ENSG00000196935,57522,OTTHUMG00000168750,SRGAP1,SLIT-ROBO Rho GTPase activating protein 1
57523,ENSG00000205978,57523,OTTHUMG00000171314,NYNRIN,NYN domain and retroviral integrase containing
57524,ENSG00000167971,57524,OTTHUMG00000177045,CASKIN1,CASK interacting protein 1
57526,ENSG00000165194,57526,OTTHUMG00000022000,PCDH19,protocadherin 19
57530,ENSG00000143375,57530,OTTHUMG00000012497,CGN,cingulin
57535,ENSG00000116299,57535,OTTHUMG00000011725,KIAA1324,KIAA1324
57537,ENSG00000184985,57537,OTTHUMG00000159981,SORCS2,sortilin-related VPS10 domain containing receptor 2
57540,ENSG00000204624,57540,OTTHUMG00000002074,PTCHD2,patched domain containing 2
57549,ENSG00000085552,57549,OTTHUMG00000022794,IGSF9,"immunoglobulin superfamily, member 9"
57553,ENSG00000243156,57553,OTTHUMG00000150067,MICAL3,"microtubule associated monoxygenase, calponin and LIM domain containing 3"
57554,ENSG00000033122,57554,OTTHUMG00000059194,LRRC7,leucine rich repeat containing 7
57556,ENSG00000092421,57556,OTTHUMG00000162987,SEMA6A,"sema domain, transmembrane domain (TM), and cytoplasmic domain, (semaphorin) 6A"
57561,ENSG00000113369,57561,OTTHUMG00000162616,ARRDC3,arrestin domain containing 3
57565,ENSG00000197705,57565,OTTHUMG00000179819,KLHL14,kelch-like 14 (Drosophila)
57569,ENSG00000137727,57569,OTTHUMG00000166590,ARHGAP20,Rho GTPase activating protein 20
57571,ENSG00000172508,57571,OTTHUMG00000167672,CARNS1,carnosine synthase 1
57574,ENSG00000144583,57574,OTTHUMG00000154824,4-Mar,"membrane-associated ring finger (C3HC4) 4, E3 ubiquitin protein ligase"
57575,ENSG00000138650,57575,OTTHUMG00000161301,PCDH10,protocadherin 10
57576,ENSG00000117245,57576,OTTHUMG00000002863,KIF17,kinesin family member 17
57580,ENSG00000124126,57580,OTTHUMG00000032685,PREX1,"phosphatidylinositol-3,4,5-trisphosphate-dependent Rac exchange factor 1"
57583,ENSG00000146433,57583,OTTHUMG00000015913,TMEM181,transmembrane protein 181
57584,ENSG00000107863,57584,OTTHUMG00000017825,ARHGAP21,Rho GTPase activating protein 21
57585,ENSG00000007545,57585,OTTHUMG00000074087,CRAMP1L,"Crm, cramped-like (Drosophila)"
57586,ENSG00000019505,57586,OTTHUMG00000166504,SYT13,synaptotagmin XIII
57587,ENSG00000164323,57587,OTTHUMG00000160468,KIAA1430,KIAA1430
57593,ENSG00000088881,57593,OTTHUMG00000031709,EBF4,early B-cell factor 4
57594,ENSG00000215271,57594,OTTHUMG00000172122,HOMEZ,homeobox and leucine zipper encoding
57595,ENSG00000067840,57595,OTTHUMG00000024209,PDZD4,PDZ domain containing 4
57596,ENSG00000183092,57596,OTTHUMG00000171589,BEGAIN,brain-enriched guanylate kinase-associated homolog (rat)
57597,ENSG00000171282,57597,OTTHUMG00000177953,BAHCC1,BAH domain and coiled-coil containing 1
57605,ENSG00000090975,57605,OTTHUMG00000168845,PITPNM2,"phosphatidylinositol transfer protein, membrane-associated 2"
57616,ENSG00000121297,57616,OTTHUMG00000150184,TSHZ3,teashirt zinc finger homeobox 3
57626,ENSG00000150361,57626,OTTHUMG00000017056,KLHL1,kelch-like 1 (Drosophila)
57630,ENSG00000154447,57630,OTTHUMG00000161010,SH3RF1,SH3 domain containing ring finger 1
57631,ENSG00000130224,57631,OTTHUMG00000022233,LRCH2,leucine-rich repeats and calponin homology (CH) domain containing 2
57633,ENSG00000175928,57633,OTTHUMG00000154934,LRRN1,leucine rich repeat neuronal 1
57642,ENSG00000101203,57642,OTTHUMG00000032964,COL20A1,"collagen, type XX, alpha 1"
57648,ENSG00000162522,57648,OTTHUMG00000008088,KIAA1522,KIAA1522
57661,ENSG00000070047,57661,OTTHUMG00000165141,PHRF1,PHD and ring finger domains 1
57662,ENSG00000076826,57662,OTTHUMG00000182096,CAMSAP3,"calmodulin regulated spectrin-associated protein family, member 3"
57666,ENSG00000112787,57666,OTTHUMG00000167991,FBRSL1,fibrosin-like 1
57670,ENSG00000122778,57670,OTTHUMG00000157214,KIAA1549,KIAA1549
57673,ENSG00000178409,57673,OTTHUMG00000015308,BEND3,BEN domain containing 3
57685,ENSG00000158966,57685,OTTHUMG00000009030,CACHD1,cache domain containing 1
57687,ENSG00000171724,57687,OTTHUMG00000176845,VAT1L,vesicle amine transport protein 1 homolog (T. californica)-like
57688,ENSG00000130449,57688,OTTHUMG00000162388,ZSWIM6,"zinc finger, SWIM-type containing 6"
57698,ENSG00000187164,57698,OTTHUMG00000019114,KIAA1598,KIAA1598
57699,ENSG00000124772,57699,OTTHUMG00000014602,CPNE5,copine V
57703,ENSG00000163510,57703,OTTHUMG00000154244,CWC22,CWC22 spliceosome-associated protein homolog (S. cerevisiae)
57707,ENSG00000140950,57707,OTTHUMG00000176739,KIAA1609,KIAA1609
57709,ENSG00000013293,57709,OTTHUMG00000158941,SLC7A14,"solute carrier family 7 (orphan transporter), member 14"
57710,ENSG00000135835,57710,OTTHUMG00000035183,KIAA1614,KIAA1614
57713,ENSG00000198879,57713,OTTHUMG00000017630,SFMBT2,Scm-like with four mbt domains 2
57722,ENSG00000103742,57722,OTTHUMG00000133136,IGDCC4,"immunoglobulin superfamily, DCC subclass, member 4"
57731,ENSG00000160460,57731,OTTHUMG00000182592,SPTBN4,"spectrin, beta, non-erythrocytic 4"
57732,ENSG00000159733,57732,OTTHUMG00000160292,ZFYVE28,"zinc finger, FYVE domain containing 28"
57761,ENSG00000101255,57761,OTTHUMG00000031627,TRIB3,tribbles homolog 3 (Drosophila)
57795,ENSG00000198797,57795,OTTHUMG00000034953,FAM5B,"family with sequence similarity 5, member B"
57801,ENSG00000188290,57801,OTTHUMG00000040758,HES4,hairy and enhancer of split 4 (Drosophila)
57822,ENSG00000158055,57822,OTTHUMG00000003040,GRHL3,grainyhead-like 3 (Drosophila)
57863,ENSG00000162706,57863,OTTHUMG00000037177,CADM3,cell adhesion molecule 3
57864,ENSG00000119457,57864,OTTHUMG00000020513,SLC46A2,"solute carrier family 46, member 2"
58157,ENSG00000165553,58157,OTTHUMG00000171558,NGB,neuroglobin
58189,ENSG00000103175,58189,OTTHUMG00000137641,WFDC1,WAP four-disulfide core domain 1
58190,ENSG00000144579,58190,OTTHUMG00000133109,CTDSP1,"CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase 1"
58191,ENSG00000161921,58191,OTTHUMG00000090761,CXCL16,chemokine (C-X-C motif) ligand 16
58480,ENSG00000116574,58480,OTTHUMG00000037919,RHOU,ras homolog family member U
58492,ENSG00000175691,58492,OTTHUMG00000180566,ZNF77,zinc finger protein 77
58494,ENSG00000154721,58494,OTTHUMG00000078441,JAM2,junctional adhesion molecule 2
58495,ENSG00000125850,58495,OTTHUMG00000031960,OVOL2,ovo-like 2 (Drosophila)
58498,ENSG00000106631,58498,OTTHUMG00000023125,MYL7,"myosin, light chain 7, regulatory"
58500,ENSG00000196150,58500,OTTHUMG00000165252,ZNF250,zinc finger protein 250
58512,ENSG00000116544,58512,OTTHUMG00000004049,DLGAP3,"discs, large (Drosophila) homolog-associated protein 3"
58516,ENSG00000139146,58516,OTTHUMG00000168586,FAM60A,"family with sequence similarity 60, member A"
58524,ENSG00000064218,58524,OTTHUMG00000019436,DMRT3,doublesex and mab-3 related transcription factor 3
58525,ENSG00000011451,58525,OTTHUMG00000182448,WIZ,widely interspaced zinc finger motifs
58528,ENSG00000025039,58528,OTTHUMG00000015200,RRAGD,Ras-related GTP binding D
58529,ENSG00000177791,58529,OTTHUMG00000018466,MYOZ1,myozenin 1
58985,ENSG00000142677,58985,OTTHUMG00000003041,IL22RA1,"interleukin 22 receptor, alpha 1"
59277,ENSG00000074527,59277,OTTHUMG00000170290,NTN4,netrin 4
59283,ENSG00000142408,59283,OTTHUMG00000064908,CACNG8,"calcium channel, voltage-dependent, gamma subunit 8"
59284,ENSG00000105605,59284,OTTHUMG00000064852,CACNG7,"calcium channel, voltage-dependent, gamma subunit 7"
59285,ENSG00000130433,59285,OTTHUMG00000064907,CACNG6,"calcium channel, voltage-dependent, gamma subunit 6"
59335,ENSG00000130711,59335,OTTHUMG00000020808,PRDM12,PR domain containing 12
59336,ENSG00000112238,59336,OTTHUMG00000015269,PRDM13,PR domain containing 13
59339,ENSG00000169499,59339,OTTHUMG00000164069,PLEKHA2,"pleckstrin homology domain containing, family A (phosphoinositide binding specific) member 2"
59344,ENSG00000179148,59344,OTTHUMG00000108179,ALOXE3,arachidonate lipoxygenase 3
59352,ENSG00000133067,59352,OTTHUMG00000041383,LGR6,leucine-rich repeat containing G protein-coupled receptor 6
60436,ENSG00000118707,60436,OTTHUMG00000172332,TGIF2,TGFB-induced factor homeobox 2
60468,ENSG00000112182,60468,OTTHUMG00000015216,BACH2,"BTB and CNC homology 1, basic leucine zipper transcription factor 2"
