23512,,,,,
All IDs for Suz12,Ensembl Gene IDs,Entrez IDs,HAVANA IDs,Symbols,Description
9023,ENSG00000138135,9023,OTTHUMG00000018705,CH25H,cholesterol 25-hydroxylase
9052,ENSG00000013588,9052,OTTHUMG00000168710,GPRC5A,"G protein-coupled receptor, family C, group 5, member A"
9076,ENSG00000163347,9076,OTTHUMG00000156214,CLDN1,claudin 1
9091,ENSG00000007541,9091,OTTHUMG00000168047,PIGQ,"phosphatidylinositol glycan anchor biosynthesis, class Q"
9096,ENSG00000112837,9096,OTTHUMG00000015129,TBX18,T-box 18
9152,ENSG00000165970,9152,OTTHUMG00000166024,SLC6A5,"solute carrier family 6 (neurotransmitter transporter, glycine), member 5"
9162,ENSG00000157680,9162,OTTHUMG00000155697,DGKI,"diacylglycerol kinase, iota"
9175,ENSG00000073803,9175,OTTHUMG00000156673,MAP3K13,mitogen-activated protein kinase kinase kinase 13
9184,ENSG00000154473,9184,OTTHUMG00000019197,BUB3,budding uninhibited by benzimidazoles 3 homolog (yeast)
9229,ENSG00000170579,9229,OTTHUMG00000131537,DLGAP1,"discs, large (Drosophila) homolog-associated protein 1"
9242,ENSG00000178860,9242,OTTHUMG00000164489,MSC,musculin
9244,ENSG00000006016,9244,OTTHUMG00000183111,CRLF1,cytokine receptor-like factor 1
9247,ENSG00000124827,9247,OTTHUMG00000014249,GCM2,glial cells missing homolog 2 (Drosophila)
9334,ENSG00000158470,9334,OTTHUMG00000033086,B4GALT5,"UDP-Gal:betaGlcNAc beta 1,4- galactosyltransferase, polypeptide 5"
9353,ENSG00000145147,9353,OTTHUMG00000128551,SLIT2,slit homolog 2 (Drosophila)
9355,ENSG00000106689,9355,OTTHUMG00000020647,LHX2,LIM homeobox 2
9365,ENSG00000133116,9365,OTTHUMG00000017408,KL,klotho
9413,ENSG00000135063,9413,OTTHUMG00000019979,FAM189A2,"family with sequence similarity 189, member A2"
9421,ENSG00000113196,9421,OTTHUMG00000130193,HAND1,heart and neural crest derivatives expressed 1
9423,ENSG00000065320,9423,OTTHUMG00000130257,NTN1,netrin 1
9427,ENSG00000171551,9427,OTTHUMG00000133262,ECEL1,endothelin converting enzyme-like 1
9464,ENSG00000164107,9464,OTTHUMG00000160775,HAND2,heart and neural crest derivatives expressed 2
9478,ENSG00000157782,9478,OTTHUMG00000156794,CABP1,calcium binding protein 1
9480,ENSG00000119547,9480,OTTHUMG00000159776,ONECUT2,one cut homeobox 2
9481,ENSG00000153291,9481,OTTHUMG00000014786,SLC25A27,"solute carrier family 25, member 27"
9496,ENSG00000121075,9496,OTTHUMG00000180078,TBX4,T-box 4
9542,ENSG00000158458,9542,OTTHUMG00000129241,NRG2,neuregulin 2
9568,ENSG00000136928,9568,OTTHUMG00000020345,GABBR2,"gamma-aminobutyric acid (GABA) B receptor, 2"
9576,ENSG00000077327,9576,OTTHUMG00000017808,SPAG6,sperm associated antigen 6
9625,ENSG00000181409,9625,OTTHUMG00000132717,AATK,apoptosis-associated tyrosine kinase
9630,ENSG00000156049,9630,OTTHUMG00000020058,GNA14,"guanine nucleotide binding protein (G protein), alpha 14"
9701,ENSG00000100239,9701,OTTHUMG00000150199,PPP6R2,"protein phosphatase 6, regulatory subunit 2"
9742,ENSG00000187535,9742,OTTHUMG00000128585,IFT140,intraflagellar transport 140 homolog (Chlamydomonas)
9755,ENSG00000198933,9755,OTTHUMG00000178286,TBKBP1,TBK1 binding protein 1
9779,ENSG00000131374,9779,OTTHUMG00000155488,TBC1D5,"TBC1 domain family, member 5"
9806,ENSG00000107742,9806,OTTHUMG00000018430,SPOCK2,"sparc/osteonectin, cwcv and kazal-like domains proteoglycan (testican) 2"
9889,ENSG00000100426,9889,OTTHUMG00000150291,ZBED4,"zinc finger, BED-type containing 4"
9899,ENSG00000185518,9899,OTTHUMG00000149833,SV2B,synaptic vesicle glycoprotein 2B
9920,ENSG00000176595,9920,OTTHUMG00000163629,KBTBD11,kelch repeat and BTB (POZ) domain containing 11
9922,ENSG00000144711,9922,OTTHUMG00000155398,IQSEC1,IQ motif and Sec7 domain 1
9935,ENSG00000204103,9935,OTTHUMG00000033052,MAFB,v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian)
9936,ENSG00000241399,9936,OTTHUMG00000154080,CD302,CD302 molecule
9956,ENSG00000122254,9956,OTTHUMG00000094785,HS3ST2,heparan sulfate (glucosamine) 3-O-sulfotransferase 2
9957,ENSG00000002587,9957,OTTHUMG00000090547,HS3ST1,heparan sulfate (glucosamine) 3-O-sulfotransferase 1
10018,ENSG00000153094,10018,OTTHUMG00000131256,BCL2L11,BCL2-like 11 (apoptosis facilitator)
10046,ENSG00000013619,10046,OTTHUMG00000024157,MAMLD1,mastermind-like domain containing 1
10068,ENSG00000137496,10068,OTTHUMG00000133713,IL18BP,interleukin 18 binding protein
10076,ENSG00000060656,10076,OTTHUMG00000003699,PTPRU,"protein tyrosine phosphatase, receptor type, U"
10079,ENSG00000054793,10079,OTTHUMG00000032751,ATP9A,"ATPase, class II, type 9A"
10141,ENSG00000082929,10141,OTTHUMG00000125492,C4orf6,chromosome 4 open reading frame 6
10194,ENSG00000179981,10194,OTTHUMG00000132859,TSHZ1,teashirt zinc finger homeobox 1
10215,ENSG00000205927,10215,OTTHUMG00000065032,OLIG2,oligodendrocyte lineage transcription factor 2
10235,ENSG00000068831,10235,OTTHUMG00000045420,RASGRP2,RAS guanyl releasing protein 2 (calcium and DAG-regulated)
10265,ENSG00000176842,10265,OTTHUMG00000133201,IRX5,iroquois homeobox 5
10267,ENSG00000132329,10267,OTTHUMG00000133337,RAMP1,receptor (G protein-coupled) activity modifying protein 1
10297,ENSG00000115266,10297,OTTHUMG00000180059,APC2,adenomatosis polyposis coli 2
10309,ENSG00000152669,10309,OTTHUMG00000162598,CCNO,cyclin O
10320,ENSG00000185811,10320,OTTHUMG00000155907,IKZF1,IKAROS family zinc finger 1 (Ikaros)
10365,ENSG00000127528,10365,OTTHUMG00000182330,KLF2,Kruppel-like factor 2 (lung)
10411,ENSG00000079337,10411,OTTHUMG00000133667,RAPGEF3,Rap guanine nucleotide exchange factor (GEF) 3
10450,ENSG00000084072,10450,OTTHUMG00000009248,PPIE,peptidylprolyl isomerase E (cyclophilin E)
10451,ENSG00000134215,10451,OTTHUMG00000010995,VAV3,vav 3 guanine nucleotide exchange factor
10481,ENSG00000159184,10481,OTTHUMG00000159900,HOXB13,homeobox B13
10485,ENSG00000125462,10485,OTTHUMG00000031022,C1orf61,chromosome 1 open reading frame 61
10568,ENSG00000157765,10568,OTTHUMG00000097757,SLC34A2,"solute carrier family 34 (sodium phosphate), member 2"
10570,ENSG00000151640,10570,OTTHUMG00000019283,DPYSL4,dihydropyrimidinase-like 4
10578,ENSG00000115523,10578,OTTHUMG00000130179,GNLY,granulysin
10586,ENSG00000181541,10586,OTTHUMG00000161442,MAB21L2,mab-21-like 2 (C. elegans)
10660,ENSG00000138136,10660,OTTHUMG00000018927,LBX1,ladybird homeobox 1
10686,ENSG00000113946,10686,OTTHUMG00000156215,CLDN16,claudin 16
10687,ENSG00000240694,10687,OTTHUMG00000163816,PNMA2,paraneoplastic Ma antigen 2
10716,ENSG00000136535,10716,OTTHUMG00000153888,TBR1,"T-box, brain, 1"
10736,ENSG00000170577,10736,OTTHUMG00000152421,SIX2,SIX homeobox 2
10777,ENSG00000172995,10777,OTTHUMG00000130795,ARPP21,"cAMP-regulated phosphoprotein, 21kDa"
10804,ENSG00000121742,10804,OTTHUMG00000016515,GJB6,"gap junction protein, beta 6, 30kDa"
10846,ENSG00000112541,10846,OTTHUMG00000015986,PDE10A,phosphodiesterase 10A
10865,ENSG00000196843,10865,OTTHUMG00000155229,ARID5A,AT rich interactive domain 5A (MRF1-like)
10882,ENSG00000131094,10882,OTTHUMG00000162944,C1QL1,"complement component 1, q subcomponent-like 1"
10944,ENSG00000110696,10944,OTTHUMG00000165910,C11orf58,chromosome 11 open reading frame 58
10945,ENSG00000105438,10945,OTTHUMG00000183215,KDELR1,KDEL (Lys-Asp-Glu-Leu) endoplasmic reticulum protein retention receptor 1
10966,ENSG00000141542,10966,OTTHUMG00000177806,RAB40B,"RAB40B, member RAS oncogene family"
11001,ENSG00000140284,11001,OTTHUMG00000131643,SLC27A2,"solute carrier family 27 (fatty acid transporter), member 2"
11022,ENSG00000182134,11022,OTTHUMG00000013062,TDRKH,tudor and KH domain containing
11023,ENSG00000148704,11023,OTTHUMG00000019117,VAX1,ventral anterior homeobox 1
11069,ENSG00000091428,11069,OTTHUMG00000133677,RAPGEF4,Rap guanine nucleotide exchange factor (GEF) 4
11092,ENSG00000165698,11092,OTTHUMG00000020847,C9orf9,chromosome 9 open reading frame 9
11096,ENSG00000154736,11096,OTTHUMG00000078686,ADAMTS5,"ADAM metallopeptidase with thrombospondin type 1 motif, 5"
11140,ENSG00000105401,11140,OTTHUMG00000180578,CDC37,cell division cycle 37 homolog (S. cerevisiae)
11166,ENSG00000125285,11166,OTTHUMG00000017209,SOX21,SRY (sex determining region Y)-box 21
11178,ENSG00000061337,11178,OTTHUMG00000097027,LZTS1,"leucine zipper, putative tumor suppressor 1"
11186,ENSG00000068028,11186,OTTHUMG00000149958,RASSF1,Ras association (RalGDS/AF-6) domain family member 1
11189,ENSG00000159409,11189,OTTHUMG00000013064,CELF3,"CUGBP, Elav-like family member 3"
11211,ENSG00000111432,11211,OTTHUMG00000168380,FZD10,frizzled family receptor 10
11247,ENSG00000182379,11247,OTTHUMG00000171241,NXPH4,neurexophilin 4
11255,ENSG00000101180,11255,OTTHUMG00000032899,HRH3,histamine receptor H3
11330,ENSG00000162438,11330,OTTHUMG00000002255,CTRC,chymotrypsin C (caldecrin)
11343,ENSG00000074416,11343,OTTHUMG00000159641,MGLL,monoglyceride lipase
22801,ENSG00000137809,22801,OTTHUMG00000172657,ITGA11,"integrin, alpha 11"
22806,ENSG00000161405,22806,OTTHUMG00000133250,IKZF3,IKAROS family zinc finger 3 (Aiolos)
22843,ENSG00000175175,22843,OTTHUMG00000179248,PPM1E,"protein phosphatase, Mg2+/Mn2+ dependent, 1E"
22844,ENSG00000070601,22844,OTTHUMG00000019927,FRMPD1,FERM and PDZ domain containing 1
22865,ENSG00000121871,22865,OTTHUMG00000158072,SLITRK3,"SLIT and NTRK-like family, member 3"
22891,ENSG00000138311,22891,OTTHUMG00000018302,ZNF365,zinc finger protein 365
22904,ENSG00000064932,22904,OTTHUMG00000181875,SBNO2,strawberry notch homolog 2 (Drosophila)
22978,ENSG00000076685,22978,OTTHUMG00000018981,NT5C2,"5'-nucleotidase, cytosolic II"
22986,ENSG00000156395,22986,OTTHUMG00000019011,SORCS3,sortilin-related VPS10 domain containing receptor 3
22987,ENSG00000122012,22987,OTTHUMG00000162384,SV2C,synaptic vesicle glycoprotein 2C
22997,ENSG00000080854,22997,OTTHUMG00000167124,IGSF9B,"immunoglobulin superfamily, member 9B"
22998,ENSG00000064042,22998,OTTHUMG00000160575,LIMCH1,LIM and calponin homology domains 1
23057,ENSG00000157064,23057,OTTHUMG00000035519,NMNAT2,nicotinamide nucleotide adenylyltransferase 2
23096,ENSG00000124313,23096,OTTHUMG00000021608,IQSEC2,IQ motif and Sec7 domain 2
23105,ENSG00000053108,23105,OTTHUMG00000162729,FSTL4,follistatin-like 4
23109,ENSG00000181418,23109,OTTHUMG00000156183,DDN,dendrin
23127,ENSG00000198756,23127,OTTHUMG00000035460,GLT25D2,glycosyltransferase 25 domain containing 2
23187,ENSG00000019144,23187,OTTHUMG00000166341,PHLDB1,"pleckstrin homology-like domain, family B, member 1"
23216,ENSG00000065882,23216,OTTHUMG00000150302,TBC1D1,"TBC1 (tre-2/USP6, BUB2, cdc16) domain family, member 1"
23242,ENSG00000106078,23242,OTTHUMG00000155999,COBL,cordon-bleu homolog (mouse)
23251,ENSG00000169330,23251,OTTHUMG00000172073,KIAA1024,KIAA1024
23284,ENSG00000150471,23284,OTTHUMG00000160690,LPHN3,latrophilin 3
23314,ENSG00000119042,23314,OTTHUMG00000132767,SATB2,SATB homeobox 2
23329,ENSG00000111490,23329,OTTHUMG00000168824,TBC1D30,"TBC1 domain family, member 30"
23368,ENSG00000088808,23368,OTTHUMG00000171647,PPP1R13B,"protein phosphatase 1, regulatory subunit 13B"
23415,ENSG00000089558,23415,OTTHUMG00000180106,KCNH4,"potassium voltage-gated channel, subfamily H (eag-related), member 4"
23416,ENSG00000135519,23416,OTTHUMG00000169517,KCNH3,"potassium voltage-gated channel, subfamily H (eag-related), member 3"
23440,ENSG00000171540,23440,OTTHUMG00000102171,OTP,orthopedia homeobox
23484,ENSG00000104660,23484,OTTHUMG00000163820,LEPROTL1,leptin receptor overlapping transcript-like 1
23499,ENSG00000127603,23499,OTTHUMG00000007754,MACF1,microtubule-actin crosslinking factor 1
23542,ENSG00000008735,23542,OTTHUMG00000150181,MAPK8IP2,mitogen-activated protein kinase 8 interacting protein 2
23544,ENSG00000100095,23544,OTTHUMG00000150870,SEZ6L,seizure related 6 homolog (mouse)-like
23584,ENSG00000019102,23584,OTTHUMG00000150357,VSIG2,V-set and immunoglobulin domain containing 2
23609,ENSG00000075975,23609,OTTHUMG00000155371,MKRN2,makorin ring finger protein 2
24141,ENSG00000125869,24141,OTTHUMG00000031851,LAMP5,"lysosomal-associated membrane protein family, member 5"
24144,ENSG00000100109,24144,OTTHUMG00000150883,TFIP11,tuftelin interacting protein 11
25789,ENSG00000105696,25789,OTTHUMG00000183113,TMEM59L,transmembrane protein 59-like
25806,ENSG00000116035,25806,OTTHUMG00000129714,VAX2,ventral anterior homeobox 2
25849,ENSG00000169116,25849,OTTHUMG00000160827,PARM1,prostate androgen-regulated mucin-like protein 1
25855,ENSG00000174744,25855,OTTHUMG00000167081,BRMS1,breast cancer metastasis suppressor 1
25858,ENSG00000219435,25858,OTTHUMG00000167820,C11orf20,chromosome 11 open reading frame 20
25876,ENSG00000101222,25876,OTTHUMG00000031756,SPEF1,sperm flagellar 1
25911,ENSG00000166171,25911,OTTHUMG00000018934,DPCD,deleted in primary ciliary dyskinesia homolog (mouse)
25960,ENSG00000020181,25960,OTTHUMG00000156182,GPR124,G protein-coupled receptor 124
25966,ENSG00000157617,25966,OTTHUMG00000086779,C2CD2,C2 calcium-dependent domain containing 2
26010,ENSG00000196141,26010,OTTHUMG00000154589,SPATS2L,"spermatogenesis associated, serine-rich 2-like"
26032,ENSG00000173705,26032,OTTHUMG00000155829,SUSD5,sushi domain containing 5
26035,ENSG00000138604,26035,OTTHUMG00000172084,GLCE,glucuronic acid epimerase
26050,ENSG00000165300,26050,OTTHUMG00000017167,SLITRK5,"SLIT and NTRK-like family, member 5"
26052,ENSG00000197959,26052,OTTHUMG00000034913,DNM3,dynamin 3
26153,ENSG00000066735,26153,OTTHUMG00000154986,KIF26A,kinesin family member 26A
26257,ENSG00000136327,26257,OTTHUMG00000028772,NKX2-8,NK2 homeobox 8
26261,ENSG00000106336,26261,OTTHUMG00000159543,FBXO24,F-box protein 24
26280,ENSG00000189108,26280,OTTHUMG00000022141,IL1RAPL2,interleukin 1 receptor accessory protein-like 2
26289,ENSG00000154027,26289,OTTHUMG00000009796,AK5,adenylate kinase 5
26468,ENSG00000106852,26468,OTTHUMG00000020601,LHX6,LIM homeobox 6
26507,ENSG00000119946,26507,OTTHUMG00000018881,CNNM1,cyclin M1
26574,ENSG00000108270,26574,OTTHUMG00000179145,AATF,apoptosis antagonizing transcription factor
26575,ENSG00000091844,26575,OTTHUMG00000015858,RGS17,regulator of G-protein signaling 17
26579,ENSG00000172927,26579,OTTHUMG00000167836,MYEOV,myeloma overexpressed (in a subset of t(11;14) positive multiple myelomas)
26585,ENSG00000166923,26585,OTTHUMG00000129319,GREM1,gremlin 1
27022,ENSG00000187140,27022,OTTHUMG00000009141,FOXD3,forkhead box D3
27023,ENSG00000171956,27023,OTTHUMG00000172011,FOXB1,forkhead box B1
27086,ENSG00000114861,27086,OTTHUMG00000158803,FOXP1,forkhead box P1
27146,ENSG00000047662,27146,OTTHUMG00000160287,FAM184B,"family with sequence similarity 184, member B"
27164,ENSG00000256463,27164,OTTHUMG00000132896,SALL3,sal-like 3 (Drosophila)
27239,ENSG00000250510,27239,OTTHUMG00000168368,GPR162,G protein-coupled receptor 162
27253,ENSG00000118946,27253,OTTHUMG00000016992,PCDH17,protocadherin 17
27287,ENSG00000151650,27287,OTTHUMG00000019307,VENTX,VENT homeobox
27319,ENSG00000180828,27319,OTTHUMG00000164386,BHLHE22,"basic helix-loop-helix family, member e22"
27344,ENSG00000102109,27344,OTTHUMG00000034502,PCSK1N,proprotein convertase subtilisin/kexin type 1 inhibitor
28231,ENSG00000101187,28231,OTTHUMG00000032923,SLCO4A1,"solute carrier organic anion transporter family, member 4A1"
28514,ENSG00000198719,28514,OTTHUMG00000016078,DLL1,delta-like 1 (Drosophila)
28962,ENSG00000081087,28962,OTTHUMG00000015317,OSTM1,osteopetrosis associated transmembrane protein 1
28984,ENSG00000102760,28984,OTTHUMG00000016796,RGCC,regulator of cell cycle
29091,ENSG00000168952,29091,OTTHUMG00000140186,STXBP6,syntaxin binding protein 6 (amisyn)
29882,ENSG00000176248,29882,OTTHUMG00000020983,ANAPC2,anaphase promoting complex subunit 2
29899,ENSG00000121957,29899,OTTHUMG00000011730,GPSM2,G-protein signaling modulator 2
29906,ENSG00000101638,29906,OTTHUMG00000132643,ST8SIA5,"ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 5"
29926,ENSG00000144591,29926,OTTHUMG00000058922,GMPPA,GDP-mannose pyrophosphorylase A
29951,ENSG00000165966,29951,OTTHUMG00000169364,PDZRN4,PDZ domain containing ring finger 4
30009,ENSG00000073861,30009,OTTHUMG00000178287,TBX21,T-box 21
30010,ENSG00000122584,30010,OTTHUMG00000151941,NXPH1,neurexophilin 1
30012,ENSG00000164438,30012,OTTHUMG00000163207,TLX3,T-cell leukemia homeobox 3
30062,ENSG00000134438,30062,OTTHUMG00000132757,RAX,retina and anterior neural fold homeobox
30812,ENSG00000005513,30812,OTTHUMG00000122101,SOX8,SRY (sex determining region Y)-box 8
30813,ENSG00000100987,30813,OTTHUMG00000032111,VSX1,visual system homeobox 1
49856,ENSG00000116213,49856,OTTHUMG00000000612,WRAP73,"WD repeat containing, antisense to TP73"
50506,ENSG00000140279,50506,OTTHUMG00000131355,DUOX2,dual oxidase 2
50614,ENSG00000182870,50614,OTTHUMG00000168256,GALNT9,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 9 (GalNAc-T9)
50632,ENSG00000130643,50632,OTTHUMG00000019310,CALY,calcyon neuron-specific vesicular protein
50674,ENSG00000122859,50674,OTTHUMG00000018391,NEUROG3,neurogenin 3
50801,ENSG00000182450,50801,OTTHUMG00000168006,KCNK4,"potassium channel, subfamily K, member 4"
50805,ENSG00000113430,50805,OTTHUMG00000090411,IRX4,iroquois homeobox 4
50846,ENSG00000139549,50846,OTTHUMG00000170408,DHH,desert hedgehog
51084,ENSG00000165475,51084,OTTHUMG00000016516,CRYL1,"crystallin, lambda 1"
51097,ENSG00000143653,51097,OTTHUMG00000040221,SCCPDH,saccharopine dehydrogenase (putative)
51278,ENSG00000162783,51278,OTTHUMG00000035178,IER5,immediate early response 5
51299,ENSG00000124785,51299,OTTHUMG00000014184,NRN1,neuritin 1
51302,ENSG00000146233,51302,OTTHUMG00000014785,CYP39A1,"cytochrome P450, family 39, subfamily A, polypeptide 1"
51312,ENSG00000147454,51312,OTTHUMG00000163865,SLC25A37,"solute carrier family 25 (mitochondrial iron transporter), member 37"
51319,ENSG00000174891,51319,OTTHUMG00000158758,RSRC1,arginine/serine-rich coiled-coil 1
51347,ENSG00000135090,51347,OTTHUMG00000168875,TAOK3,TAO kinase 3
51373,ENSG00000249773; ENSG00000249773,51373; 51373,OTTHUMG00000160988; OTTHUMG00000160988,MRPS17; MRPS17,"28S ribosomal protein S17, mitochondrial; HCG1984214, isoform CRA_a"
51373,ENSG00000249773; ENSG00000249773,51373; 51373,OTTHUMG00000160988; OTTHUMG00000160988,MRPS17; MRPS17,"28S ribosomal protein S17, mitochondrial; HCG1984214, isoform CRA_a"
51412,ENSG00000077080,51412,OTTHUMG00000159661,ACTL6B,actin-like 6B
51440,ENSG00000116983,51440,OTTHUMG00000009246,HPCAL4,hippocalcin like 4
51513,ENSG00000010030,51513,OTTHUMG00000014594,ETV7,ets variant 7
51673,ENSG00000159713,51673,OTTHUMG00000137516,TPPP3,tubulin polymerization-promoting protein family member 3
53346,ENSG00000136404,53346,OTTHUMG00000147365,TM6SF1,transmembrane 6 superfamily member 1
53832,ENSG00000016402,53832,OTTHUMG00000015654,IL20RA,"interleukin 20 receptor, alpha"
53834,ENSG00000127418,53834,OTTHUMG00000118998,FGFRL1,fibroblast growth factor receptor-like 1
53905,ENSG00000137857,53905,OTTHUMG00000171987,DUOX1,dual oxidase 1
54084,ENSG00000175894,54084,OTTHUMG00000041215,TSPEAR,thrombospondin-type laminin G domain and EAR repeats
54101,ENSG00000183421,54101,OTTHUMG00000086770,RIPK4,receptor-interacting serine-threonine kinase 4
54207,ENSG00000100433,54207,OTTHUMG00000170743,KCNK10,"potassium channel, subfamily K, member 10"
54212,ENSG00000147481,54212,OTTHUMG00000164257,SNTG1,"syntrophin, gamma 1"
54345,ENSG00000203883,54345,OTTHUMG00000033017,SOX18,SRY (sex determining region Y)-box 18
54463,ENSG00000154153,54463,OTTHUMG00000161788,FAM134B,"family with sequence similarity 134, member B"
54504,ENSG00000106066,54504,OTTHUMG00000023669,CPVL,"carboxypeptidase, vitellogenic-like"
54544,ENSG00000169509,54544,OTTHUMG00000012391,CRCT1,cysteine-rich C-terminal 1
54567,ENSG00000128917,54567,OTTHUMG00000172511,DLL4,delta-like 4 (Drosophila)
54587,ENSG00000162576,54587,OTTHUMG00000002973,MXRA8,matrix-remodelling associated 8
54626,ENSG00000069812,54626,OTTHUMG00000000752,HES2,hairy and enhancer of split 2 (Drosophila)
54663,ENSG00000133316,54663,OTTHUMG00000167695,WDR74,WD repeat domain 74
54716,ENSG00000163817,54716,OTTHUMG00000133446,SLC6A20,"solute carrier family 6 (proline IMINO transporter), member 20"
54738,ENSG00000163497,54738,OTTHUMG00000133080,FEV,FEV (ETS oncogene family)
54847,ENSG00000072858,54847,OTTHUMG00000159299,SIDT1,"SID1 transmembrane family, member 1"
54886,ENSG00000148123,54886,OTTHUMG00000020373,LPPR1,Lipid phosphate phosphatase-related protein type 1
54897,ENSG00000130940,54897,OTTHUMG00000002035,CASZ1,castor zinc finger 1
54898,ENSG00000197977,54898,OTTHUMG00000014252,ELOVL2,ELOVL fatty acid elongase 2
54923,ENSG00000203896,54923,OTTHUMG00000032999,LIME1,Lck interacting transmembrane adaptor 1
54955,ENSG00000116922,54955,OTTHUMG00000004323,C1orf109,chromosome 1 open reading frame 109
55016,ENSG00000145416,55016,OTTHUMG00000161204,1-Mar,"membrane-associated ring finger (C3HC4) 1, E3 ubiquitin protein ligase"
55079,ENSG00000153266,55079,OTTHUMG00000158705,FEZF2,FEZ family zinc finger 2
55083,ENSG00000162849,55083,OTTHUMG00000040079,KIF26B,kinesin family member 26B
55107,ENSG00000131620,55107,OTTHUMG00000167204,ANO1,"anoctamin 1, calcium activated chloride channel"
55118,ENSG00000095713,55118,OTTHUMG00000018871,CRTAC1,cartilage acidic protein 1
55143,ENSG00000134690,55143,OTTHUMG00000004320,CDCA8,cell division cycle associated 8
55182,ENSG00000187147,55182,OTTHUMG00000007697,RNF220,ring finger protein 220
55268,ENSG00000121310,55268,OTTHUMG00000008927,ECHDC2,enoyl CoA hydratase domain containing 2
55283,ENSG00000055732,55283,OTTHUMG00000009955,MCOLN3,mucolipin 3
55289,ENSG00000153093,55289,OTTHUMG00000131257,ACOXL,acyl-CoA oxidase-like
55336,ENSG00000135722,55336,OTTHUMG00000137514,FBXL8,F-box and leucine-rich repeat protein 8
55351,ENSG00000152953,55351,OTTHUMG00000090423,STK32B,serine/threonine kinase 32B
55512,ENSG00000103056,55512,OTTHUMG00000137559,SMPD3,"sphingomyelin phosphodiesterase 3, neutral membrane (neutral sphingomyelinase II)"
55521,ENSG00000152503,55521,OTTHUMG00000128892,TRIM36,tripartite motif containing 36
55568,ENSG00000164574,55568,OTTHUMG00000130145,GALNT10,UDP-N-acetyl-alpha-D-galactosamine:polypeptide N-acetylgalactosaminyltransferase 10 (GalNAc-T10)
55612,ENSG00000101311,55612,OTTHUMG00000031826,FERMT1,fermitin family member 1
55636,ENSG00000171316,55636,OTTHUMG00000165332,CHD7,chromodomain helicase DNA binding protein 7
55738,ENSG00000101199,55738,OTTHUMG00000032965,ARFGAP1,ADP-ribosylation factor GTPase activating protein 1
55799,ENSG00000157445,55799,OTTHUMG00000158580,CACNA2D3,"calcium channel, voltage-dependent, alpha 2/delta subunit 3"
55806,ENSG00000168453,55806,OTTHUMG00000097089,HR,hairless homolog (mouse)
55893,ENSG00000186918,55893,OTTHUMG00000102137,ZNF395,zinc finger protein 395
55897,ENSG00000166823,55897,OTTHUMG00000149810,MESP1,mesoderm posterior 1 homolog (mouse)
55908,ENSG00000130173,55908,OTTHUMG00000180829,C19orf80,chromosome 19 open reading frame 80
56033,ENSG00000131668,56033,OTTHUMG00000020255,BARX1,BARX homeobox 1
56134,ENSG00000243232,56134,OTTHUMG00000129607,PCDHAC2,"protocadherin alpha subfamily C, 2"
56243,ENSG00000120549,56243,OTTHUMG00000017824,KIAA1217,KIAA1217
56603,ENSG00000003137,56603,OTTHUMG00000129756,CYP26B1,"cytochrome P450, family 26, subfamily B, polypeptide 1"
56659,ENSG00000152315,56659,OTTHUMG00000171017,KCNK13,"potassium channel, subfamily K, member 13"
56751,ENSG00000125492,56751,OTTHUMG00000020839,BARHL1,BarH-like homeobox 1
56853,ENSG00000101489,56853,OTTHUMG00000178178,CELF4,"CUGBP, Elav-like family member 4"
56896,ENSG00000157851,56896,OTTHUMG00000097071,DPYSL5,dihydropyrimidinase-like 5
56901,ENSG00000185633,56901,OTTHUMG00000171275,NDUFA4L2,"NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4-like 2"
56938,ENSG00000029153,56938,OTTHUMG00000169257,ARNTL2,aryl hydrocarbon receptor nuclear translocator-like 2
56956,ENSG00000143355,56956,OTTHUMG00000035656,LHX9,LIM homeobox 9
56961,ENSG00000105251,56961,OTTHUMG00000181879,SHD,Src homology 2 domain containing transforming protein D
56978,ENSG00000152784,56978,OTTHUMG00000160885,PRDM8,PR domain containing 8
57057,ENSG00000164532,57057,OTTHUMG00000099411,TBX20,T-box 20
57117,ENSG00000138785,57117,OTTHUMG00000131215,INTS12,integrator complex subunit 12
57282,ENSG00000144290,57282,OTTHUMG00000153938,SLC4A10,"solute carrier family 4, sodium bicarbonate transporter, member 10"
57332,ENSG00000141570,57332,OTTHUMG00000150416,CBX8,chromobox homolog 8
57369,ENSG00000159248,57369,OTTHUMG00000129674,GJD2,"gap junction protein, delta 2, 36kDa"
57473,ENSG00000196700,57473,OTTHUMG00000033008,ZNF512B,zinc finger protein 512B
57501,ENSG00000114656,57501,OTTHUMG00000159946,KIAA1257,KIAA1257
57502,ENSG00000146938,57502,OTTHUMG00000021093,NLGN4X,"neuroligin 4, X-linked"
57520,ENSG00000138411,57520,OTTHUMG00000154435,HECW2,"HECT, C2 and WW domain containing E3 ubiquitin protein ligase 2"
57526,ENSG00000165194,57526,OTTHUMG00000022000,PCDH19,protocadherin 19
57537,ENSG00000184985,57537,OTTHUMG00000159981,SORCS2,sortilin-related VPS10 domain containing receptor 2
57540,ENSG00000204624,57540,OTTHUMG00000002074,PTCHD2,patched domain containing 2
